Tanggal;Jenis Produk;Jumlah Order;Harga;Total
05/08/2022;Foodpak260;1000;1800;1800000
05/08/2022;FoodpakMatte245;1000;1900;1900000
05/08/2022;CraftLaminasi290;5000;750;3750000
05/08/2022;CraftLaminasi290;1000;1200;1200000
07/08/2022;Dupleks310;1000;1550;1550000
08/08/2022;Dupleks310;500;1900;950000
08/08/2022;Ivory270;1000;1700;1700000
09/08/2022;Kinstruk130;1000;1000;1000000
09/08/2022;HVS;1500;850;1275000
09/08/2022;Dupleks350;500;1800;900000
09/08/2022;Dupleks350;500;1800;900000
10/08/2022;Dupleks310;500;1600;800000
10/08/2022;Ivory270;1000;2000;2000000
11/08/2022;CraftLaminasi290;1000;850;850000
11/08/2022;Dupleks350;500;1800;900000
11/08/2022;Dupleks350;500;1800;900000
11/08/2022;Dupleks310;2000;1300;2600000
12/08/2022;CraftLaminasi;1000;1200;1200000
12/08/2022;Ivory270;1000;2000;2000000
12/08/2022;Dupleks350;1000;2200;2200000
12/08/2022;CraftLaminasi290;3000;800;2400000
12/08/2022;CraftLaminasi290;500;600;300000
13/08/2022;GRESSPROFF;1500;300;450000
15/08/2022;Ivory230+LaminasiDoff;1500;1100;1650000
15/08/2022;260Glossy;2000;2300;4600000
15/08/2022;CraftFoodpak290;1000;2200;2200000
15/08/2022;Ivory230;3000;950;2850000
15/08/2022;CraftFoodpak290;3000;875;2625000
15/08/2022;Dupleks310;2000;1600;3200000
15/08/2022;Foodpak260Matte;1000;2200;2200000
15/08/2022;Dupleks270;1000;1900;1900000
16/08/2022;Dupleks310;2000;1750;3500000
16/08/2022;Dupleks350;2000;1975;3950000
16/08/2022;Kinstruk130;2000;500;1000000
18/08/2022;CraftFoodpak290;1000;975;975000
18/08/2022;Dupleks270;500;2200;1100000
18/08/2022;Kinstruk150;500;900;450000
18/08/2022;FoodpakMatte245;1000;1800;1800000
22/08/2022;Dupleks310;2000;1710;3420000
22/08/2022;CraftFoodpak290;3500;1300;4550000
22/08/2022;Dupleks310;1000;1900;1900000
22/08/2022;Kinstruk260;3500;1650;5775000
22/08/2022;CraftFoodpak290;2000;1200;2400000
22/08/2022;CraftFoodpak290;2000;1850;3700000
22/08/2022;Dupleks310;2000;1800;3600000
22/08/2022;FoodpakGlossy;1000;2300;2300000
29/08/2022;Dupleks310;1000;1550;1550000
29/08/2022;Ivory230;2000;1450;2900000
29/08/2022;Dupleks310;1000;1800;1800000
30/08/2022;Ivory300;1000;1700;1700000
30/08/2022;Dupleks310;1500;1900;2850000
30/08/2022;Dupleks270Eplex;3000;1300;3900000
30/08/2022;Dupleks310;1000;2200;2200000
31/08/2022;Ivory250;1000;1600;1600000
31/08/2022;GreaseProof;1000;400;400000
01/09/2022;Foodpak295Matte;1000;1900;1900000
02/09/2022;Dupleks350;2000;1500;3000000
02/09/2022;Dupleks310;1000;1500;1500000
02/09/2022;GreaseProof;1000;500;500000
02/09/2022;Ivory230;2000;945;1890000
02/09/2022;CraftLaminasi290;5000;800;4000000
03/09/2022;CraftLaminasi290;6000;950;5700000
03/09/2022;HVS;20000;250;5000000
05/09/2022;CraftLaminasi290;1000;1100;1100000
05/09/2022;Ivory230;1000;1200;1200000
05/09/2022;Foodpak260Glossy;5000;1200;6000000
07/09/2022;Dupleks310;2000;1600;3200000
07/09/2022;Dupleks310;2000;1600;3200000
07/09/2022;GreaseProof;1000;400;400000
08/09/2022;CraftLaminasi290;5000;850;4250000
08/09/2022;Dupleks310;1000;2000;2000000
08/09/2022;Ivory270;500;5500;2750000
08/09/2022;Dupleks350;500;5500;2750000
08/09/2022;Ivory300;1000;2500;2500000
08/09/2022;GreaseProof;1000;300;300000
08/09/2022;Ivory300;2000;1500;3000000
14/09/2022;Dupleks350;1000;2800;2800000
14/09/2022;CraftLaminasi290;2000;1950;3900000
14/09/2022;Dupleks350;2000;1975;3950000
14/09/2022;CraftLaminasi290;1000;1200;1200000
14/09/2022;FoodpakGlossy260;1000;1800;1800000
14/09/2022;Foodpak295;1000;1600;1600000
14/09/2022;Foodpak295;1000;1600;1600000
14/09/2022;Dupleks270;1000;1800;1800000
14/09/2022;GreaseProof;1000;950;950000
14/09/2022;Foodpak260Glossy;1000;1600;1600000
14/09/2022;Dupleks350;1000;2500;2500000
14/09/2022;Dupleks400;1000;2500;2500000
19/09/2022;Dupleks310;500;1450;725000
19/09/2022;CraftLaminasi290;5000;1200;6000000
19/09/2022;Dupleks310;1000;1400;1400000
19/09/2022;Foodpak260Glossy;1000;1650;1650000
19/09/2022;FoodpakMatte245;2500;700;1750000
19/09/2022;Dupleks350;2000;1600;3200000
19/09/2022;Dupleks350;2000;1500;3000000
19/09/2022;Dupleks310;1000;1400;1400000
19/09/2022;Foodpak260Glossy;2000;2300;4600000
19/09/2022;CraftLaminasi290;4000;1700;6800000
19/09/2022;CraftLaminasi290;1000;1200;1200000
19/09/2022;Ivory250;1000;1650;1650000
19/09/2022;CraftLaminasi290;3000;1700;5100000
19/09/2022;CraftLaminasi290;1000;1200;1200000
24/09/2022;CraftLaminasi290;2000;1850;3700000
24/09/2022;CraftLaminasi290;2000;900;1800000
24/09/2022;Dupleks310;1000;1900;1900000
24/09/2022;Dupleks310;1000;1900;1900000
24/09/2022;Ivory270;2000;950;1900000
24/09/2022;Dupleks310;1000;2200;2200000
24/09/2022;Dupleks310;1000;1550;1550000
24/09/2022;CraftLaminasi290;3000;1000;3000000
24/09/2022;CraftLaminasi290;1000;850;850000
24/09/2022;CraftFoodpak290;3000;875;2625000
24/09/2022;FoodpakMatte295;1000;1900;1900000
24/09/2022;Dupleks310;1000;1500;1500000
24/09/2022;Craft290;1000;1350;1350000
24/09/2022;Ivory230;1000;1600;1600000
24/09/2022;Ivory230;1000;1600;1600000
24/09/2022;GreaseProof40;1000;300;300000
24/09/2022;Ivory230;1000;1700;1700000
24/09/2022;Dupleks350;1000;3450;3450000
24/09/2022;Dupleks310;2000;1800;3600000
24/09/2022;Foodpak260Glossy;5000;1450;7250000
24/09/2022;Ivory230;1000;1150;1150000
04/10/2022;Dupleks310;2000;1600;3200000
04/10/2022;FoodpakGlossy260;1000;1800;1800000
04/10/2022;Dupleks310;3000;1400;4200000
05/10/2022;CraftLaminasi290;4000;800;3200000
06/10/2022;CraftFoodpak290;1500;875;1312500
07/10/2022;HVS;20000;250;5000000
07/10/2022;Dupleks310;3500;1650;5775000
08/10/2022;Dupleks310;1000;2200;2200000
09/10/2022;Ivory270;1000;2300;2300000
10/10/2022;GreaseProofPlano;1000;300;300000
11/10/2022;Ivory270;1000;2700;2700000
12/10/2022;Ivory230;2000;1450;2900000
13/10/2022;Ivory230;2000;945;1890000
14/10/2022;CraftLaminasi290;2000;1850;3700000
15/10/2022;Ivory230;1500;1600;2400000
16/10/2022;Ivory230;1000;1700;1700000
17/10/2022;Dupleks310;2000;1400;2800000
18/10/2022;Dupleks310;1000;1550;1550000
19/10/2022;CraftLaminasi290;5000;850;4250000
19/10/2022;Ivory270;1000;2000;2000000
19/10/2022;CraftFoodpak290;1000;1200;1200000
19/10/2022;Ivory270;1000;3500;3500000
20/10/2022;CraftLaminasi290;5000;1200;6000000
21/10/2022;GreaseProof;3500;350;1225000
22/10/2022;Ivory250;2000;1400;2800000
23/10/2022;Dupleks310;3500;1700;5950000
24/10/2022;Dupleks350;2000;1975;3950000
24/10/2022;Dupleks350;1000;2200;2200000
24/10/2022;Dupleks270Laminating;1000;2000;2000000
24/10/2022;Ivory250;1000;1600;1600000
24/10/2022;Dupleks310;1000;1900;1900000
24/10/2022;Ivory270;1000;2700;2700000
24/10/2022;Ivory230;1000;1700;1700000
24/10/2022;Dupleks310;1000;1900;1900000
24/10/2022;GreaseProof;2000;275;550000
24/10/2022;PTSariIndahPackagingIndustry;100;3500;350000
24/10/2022;CraftLaminasi290;2000;1850;3700000
24/10/2022;Dupleks350;2000;1500;3000000
24/10/2022;CraftLaminasi290;4500;1600;7200000
24/10/2022;Craft310;1000;2000;2000000
24/10/2022;Dupleks310;600;2450;1470000
24/10/2022;Ivory230;1000;1100;1100000
24/10/2022;Ivory230;1000;1300;1300000
24/10/2022;Ivory250;1000;1700;1700000
24/10/2022;Ivory250;1000;2000;2000000
24/10/2022;Ivory300;2000;1500;3000000
24/10/2022;CraftFoodpak290;1000;975;975000
24/10/2022;CraftFoodpak290;1000;1200;1200000
24/10/2022;GreaseProof;1000;800;800000
05/11/2022;Dupleks310;1000;1550;1550000
05/11/2022;CraftLaminasi290;2000;900;1800000
05/11/2022;Ivory270;1000;850;850000
05/11/2022;Ivory230;3000;950;2850000
05/11/2022;CraftFoodpak290;1500;875;1312500
08/11/2022;CraftLaminasi290;1000;800;800000
08/11/2022;CraftLaminasi290;1000;850;850000
10/11/2022;Ivory270;1000;2000;2000000
10/11/2022;Ivory270;1000;2400;2400000
10/11/2022;Ivory270;1000;2900;2900000
10/11/2022;Ivory270;1000;3550;3550000
13/11/2022;FoodpakGlossy260;1000;1700;1700000
13/11/2022;Dupleks310;2000;1800;3600000
13/11/2022;Dupleks310;1000;1900;1900000
13/11/2022;Ivory250;1000;1700;1700000
13/11/2022;Dupleks310;2000;1300;2600000
13/11/2022;Ivory230;1500;1600;2400000
13/11/2022;CraftLaminasi290;5000;1200;6000000
13/11/2022;Ivory230;1000;1700;1700000
20/11/2022;Dupleks310P;2000;1600;3200000
20/11/2022;Craft290;1000;1100;1100000
20/11/2022;GreaseProof;1000;800;800000
20/11/2022;GreaseProof;1000;300;300000
20/11/2022;Dupleks310P;3000;1400;4200000
20/11/2022;Ivory250+Laminasi;1000;2500;2500000
20/11/2022;HVS;20000;250;5000000
20/11/2022;CraftFoodpak290;2000;875;1750000
22/11/2022;CraftLaminasi290;3000;800;2400000
22/11/2022;StikerA3;250;5500;1375000
22/11/2022;Dupleks310;2000;1600;3200000
22/11/2022;GreaseProof;1000;350;350000
22/11/2022;Dupleks270;1000;1800;1800000
22/11/2022;Dupleks350;2000;1975;3950000
22/11/2022;Ivory250;1000;1900;1900000
22/11/2022;Dupleks350;1000;2250;2250000
22/11/2022;Dupleks400;1000;2250;2250000
22/11/2022;Dupleks350;1000;2200;2200000
22/11/2022;Dupleks310;1000;1900;1900000
22/11/2022;Ivory300;1000;2400;2400000
22/11/2022;GreaseProof;1000;300;300000
23/11/2022;Dupleks310;2000;1800;3600000
23/11/2022;Foodpak260Glossy;5000;1200;6000000
23/11/2022;Ivory230;2000;945;1890000
23/11/2022;Dupleks350;2000;1500;3000000
23/11/2022;Ivory230;1000;1300;1300000
23/11/2022;Ivory230+LaminasiAlas;1000;1900;1900000
23/11/2022;CraftLaminasi290;2000;1850;3700000
23/11/2022;GreaseProof;1000;400;400000
26/11/2022;CraftLaminasi290;5000;850;4250000
26/11/2022;CraftLaminasi290;3000;650;1950000
26/11/2022;CraftBiasa310;1000;1700;1700000
26/11/2022;CraftLaminasi290;3000;1300;3900000
26/11/2022;Ivory230;1000;1100;1100000
26/11/2022;GreaseProof;1000;950;950000
26/11/2022;CraftLaminasi290;1000;900;900000
26/11/2022;Ivory230+Laminating;1000;1900;1900000
29/11/2022;Dupleks310;1000;1550;1550000
29/11/2022;Ivory300;1000;1500;1500000
29/11/2022;CraftLaminasi290;1000;1200;1200000
